id|imageFile|creationDate|locationIP|browserUsed|language|content|length
618475290624||2011-08-17T06:05:40.595+0000|49.246.218.237|Firefox|uz|About Rupert Murdoch, t newer electronic publishing technoAbout George Frideric Handel,  concertos. Handel was born in 1685,About Kurt Vonne|140
3||2010-02-14T20:30:21.451+0000|119.235.7.103|Firefox|uz|About Rupert Murdoch, alised US citizen iAbout Napoleon, tinuation of the waAbout Ferdinand II of Aragon, (1|108
1030792151044||2012-07-20T03:48:53.147+0000|119.235.7.103|Firefox|uz|About Rupert Murdoch, 50s and '60s, he acquAbout George Frideric Handel, man-British Baroque cAbout Jane Austen, estimate o|123
412316860440||2011-01-05T05:21:15.452+0000|119.235.7.103|Firefox|uz|About Freddie Mercury, s the lead vocalist and lyricist of the rock band Queen. As a perfoAbout To Be with You,  songwriter working for the label at the time (though exactly what About Round Here,  th|200
481036337184|photo481036337184.jpg|2011-04-07T21:06:36.051+0000|119.235.7.103|Firefox|||0
481036337185|photo481036337185.jpg|2011-04-07T21:06:37.051+0000|119.235.7.103|Firefox|||0
481036337186|photo481036337186.jpg|2011-04-07T21:06:38.051+0000|119.235.7.103|Firefox|||0
481036337187|photo481036337187.jpg|2011-04-07T21:06:39.051+0000|119.235.7.103|Firefox|||0
481036337188|photo481036337188.jpg|2011-04-07T21:06:40.051+0000|119.235.7.103|Firefox|||0
481036337189|photo481036337189.jpg|2011-04-07T21:06:41.051+0000|119.235.7.103|Firefox|||0
481036337190|photo481036337190.jpg|2011-04-07T21:06:42.051+0000|119.235.7.103|Firefox|||0
481036337191|photo481036337191.jpg|2011-04-07T21:06:43.051+0000|119.235.7.103|Firefox|||0
481036337192|photo481036337192.jpg|2011-04-07T21:06:44.051+0000|119.235.7.103|Firefox|||0
481036337193|photo481036337193.jpg|2011-04-07T21:06:45.051+0000|119.235.7.103|Firefox|||0
481036337194|photo481036337194.jpg|2011-04-07T21:06:46.051+0000|119.235.7.103|Firefox|||0
481036337195|photo481036337195.jpg|2011-04-07T21:06:47.051+0000|119.235.7.103|Firefox|||0
481036337196|photo481036337196.jpg|2011-04-07T21:06:48.051+0000|119.235.7.103|Firefox|||0
481036337197|photo481036337197.jpg|2011-04-07T21:06:49.051+0000|119.235.7.103|Firefox|||0
481036337198|photo481036337198.jpg|2011-04-07T21:06:50.051+0000|119.235.7.103|Firefox|||0
481036337199|photo481036337199.jpg|2011-04-07T21:06:51.051+0000|119.235.7.103|Firefox|||0
481036337200|photo481036337200.jpg|2011-04-07T21:06:52.051+0000|119.235.7.103|Firefox|||0
481036337201|photo481036337201.jpg|2011-04-07T21:06:53.051+0000|119.235.7.103|Firefox|||0
481036337202|photo481036337202.jpg|2011-04-07T21:06:54.051+0000|119.235.7.103|Firefox|||0
755914244147|photo755914244147.jpg|2011-12-16T17:48:11.090+0000|119.235.7.103|Firefox|||0
755914244148|photo755914244148.jpg|2011-12-16T17:48:12.090+0000|119.235.7.103|Firefox|||0
755914244149|photo755914244149.jpg|2011-12-16T17:48:13.090+0000|119.235.7.103|Firefox|||0
755914244150|photo755914244150.jpg|2011-12-16T17:48:14.090+0000|119.235.7.103|Firefox|||0
755914244151|photo755914244151.jpg|2011-12-16T17:48:15.090+0000|119.235.7.103|Firefox|||0
755914244152|photo755914244152.jpg|2011-12-16T17:48:16.090+0000|119.235.7.103|Firefox|||0
755914244153|photo755914244153.jpg|2011-12-16T17:48:17.090+0000|119.235.7.103|Firefox|||0
755914244154|photo755914244154.jpg|2011-12-16T17:48:18.090+0000|119.235.7.103|Firefox|||0
755914244155|photo755914244155.jpg|2011-12-16T17:48:19.090+0000|119.235.7.103|Firefox|||0
755914244156|photo755914244156.jpg|2011-12-16T17:48:20.090+0000|119.235.7.103|Firefox|||0
755914244157|photo755914244157.jpg|2011-12-16T17:48:21.090+0000|119.235.7.103|Firefox|||0
755914244158|photo755914244158.jpg|2011-12-16T17:48:22.090+0000|119.235.7.103|Firefox|||0
